923	1001	1	880388173
923	1	3	880387306
923	245	3	880387199
923	264	3	880387199
923	280	3	880388097
923	410	3	880387908
923	689	3	880387001
923	827	3	880387997
923	1011	4	880388097
923	1028	4	880387624
923	105	4	880388547
923	117	4	880387598
923	121	4	880387908
923	125	4	880388289
923	148	4	880387474
923	151	4	880388021
923	222	4	880388211
923	237	4	880387908
923	248	4	880387474
923	249	4	880388021
923	281	4	880387875
923	282	4	880387624
923	291	4	880387707
923	293	4	880387908
923	294	4	880387081
923	307	4	880386897
923	322	4	880387130
923	325	4	880387081
923	338	4	880387172
923	3	4	880387707
923	405	4	880387429
923	411	4	880387664
923	455	4	880387946
923	456	4	880388562
923	460	4	880388426
923	472	4	880388547
923	544	4	880387507
923	546	4	880387507
923	628	4	880387428
923	685	4	880387396
923	742	4	880387792
923	762	4	880387525
923	763	4	880387908
923	815	4	880387792
923	823	4	880388383
923	825	4	880387525
923	829	4	880388426
923	831	4	880388211
923	866	4	880388383
923	926	4	880388383
923	928	4	880388306
923	9	4	880387306
923	975	4	880388245
923	100	5	880387474
923	1012	5	880387624
923	1017	5	880387525
923	1277	5	880388322
923	129	5	880387474
923	168	5	880388872
923	174	5	880388872
923	181	5	880387363
923	257	5	880387946
923	273	5	880387474
923	276	5	880387429
923	288	5	880386897
923	295	5	880387579
923	333	5	880386897
923	334	5	880387129
923	340	5	880387080
923	475	5	880387664
923	50	5	880387306
923	591	5	880387875
923	713	5	880388173
923	741	5	880387792
