81	1028	1	876534277
81	412	1	876534408
81	456	1	876533504
81	756	1	876534097
81	118	2	876533764
81	151	2	876533946
81	222	2	876533619
81	411	2	876534244
81	432	2	876535131
81	476	2	876534124
81	544	2	876546272
81	717	2	876533824
81	742	2	876533764
81	100	3	876533545
81	1047	3	876533988
81	1059	3	876534366
81	111	3	876534174
81	116	3	876533504
81	124	3	876534594
81	150	3	876533619
81	269	3	876533229
81	274	3	876534313
81	284	3	876533894
81	288	3	876533229
81	289	3	876533229
81	405	3	876533764
81	471	3	876533586
81	596	3	876533824
81	619	3	876534009
81	824	3	876534437
81	926	3	876533824
81	93	3	876533657
81	121	4	876533586
81	147	4	876533389
81	1	4	876534949
81	169	4	876534751
81	210	4	876534704
81	237	4	876533764
81	273	4	876533710
81	275	4	876533657
81	276	4	876533545
81	280	4	876534214
81	283	4	876533504
81	3	4	876592546
81	410	4	876533946
81	42	4	876534704
81	595	4	876534437
81	726	4	876534505
81	7	4	876533545
81	928	4	876534214
81	186	5	876534783
81	25	5	876533946
81	282	5	876533619
81	318	5	876534817
81	475	5	876533504
81	591	5	876534124
81	79	5	876534817
81	98	5	876534854
